NUMBER	CURRENT	MARKER_NUMBER	MISSING_DATA	METHOD	MEAN	SE	MIN	MAX	MEDIAN	QUANTILE25	QUANTILE75	SE_MIN	SE_MAX
20	OVERALL	10156	no.imputation	THL	51.5	25.5	26	77	51.5	38.75	64.25	26	77
20	NOR	100	no.imputation	THL	49	4.82	30	80	50	40	57.5	44.18	53.82
20	NOR	200	no.imputation	THL	54	5.62	20	80	55	42.5	67.5	48.38	59.62
20	NOR	500	no.imputation	THL	65	4.28	40	80	65	60	77.5	60.72	69.28
20	NOR	1000	no.imputation	THL	58	3.59	40	70	60	52.5	67.5	54.41	61.59
20	NOR	2000	no.imputation	THL	52	4.16	30	70	50	42.5	60	47.84	56.16
20	NOR	3000	no.imputation	THL	64	4.52	40	80	65	52.5	77.5	59.48	68.52
20	NOR	4000	no.imputation	THL	56	4.99	30	70	60	50	70	51.01	60.99
20	NOR	5000	no.imputation	THL	49	6.05	20	80	50	32.5	60	42.95	55.05
20	NOR	6000	no.imputation	THL	51	5.47	20	80	50	40	60	45.53	56.47
20	NOR	7000	no.imputation	THL	51	5.47	20	70	50	42.5	67.5	45.53	56.47
20	NOR	8000	no.imputation	THL	50	3.94	30	70	50	40	60	46.06	53.94
20	NOR	9000	no.imputation	THL	49	5.47	20	80	50	40	60	43.53	54.47
20	NOR	10156	no.imputation	THL	54	4.76	30	80	55	42.5	60	49.24	58.76
20	SOU	100	no.imputation	THL	53	5.39	30	80	50	42.5	67.5	47.61	58.39
20	SOU	200	no.imputation	THL	63	4.23	40	80	65	52.5	70	58.77	67.23
20	SOU	500	no.imputation	THL	68	3.59	50	80	70	62.5	77.5	64.41	71.59
20	SOU	1000	no.imputation	THL	65	3.42	50	80	65	60	70	61.58	68.42
20	SOU	2000	no.imputation	THL	60	3.65	40	80	60	52.5	67.5	56.35	63.65
20	SOU	3000	no.imputation	THL	63	3.67	50	80	60	52.5	70	59.33	66.67
20	SOU	4000	no.imputation	THL	59	4.33	40	70	65	45	70	54.67	63.33
20	SOU	5000	no.imputation	THL	64	3.71	40	80	70	60	70	60.29	67.71
20	SOU	6000	no.imputation	THL	64	3.4	50	80	70	52.5	70	60.6	67.4
20	SOU	7000	no.imputation	THL	62	4.16	40	80	60	52.5	70	57.84	66.16
20	SOU	8000	no.imputation	THL	62	3.27	50	80	60	52.5	70	58.73	65.27
20	SOU	9000	no.imputation	THL	61	3.14	50	80	60	52.5	67.5	57.86	64.14
20	SOU	10156	no.imputation	THL	56	2.67	40	70	60	50	60	53.33	58.67
20	OVERALL	100	no.imputation	THL	51	2	49	53	51	50	52	49	53
20	OVERALL	200	no.imputation	THL	58.5	4.5	54	63	58.5	56.25	60.75	54	63
20	OVERALL	500	no.imputation	THL	66.5	1.5	65	68	66.5	65.75	67.25	65	68
20	OVERALL	1000	no.imputation	THL	61.5	3.5	58	65	61.5	59.75	63.25	58	65
20	OVERALL	2000	no.imputation	THL	56	4	52	60	56	54	58	52	60
20	OVERALL	3000	no.imputation	THL	63.5	0.5	63	64	63.5	63.25	63.75	63	64
20	OVERALL	4000	no.imputation	THL	57.5	1.5	56	59	57.5	56.75	58.25	56	59
20	OVERALL	5000	no.imputation	THL	56.5	7.5	49	64	56.5	52.75	60.25	49	64
20	OVERALL	6000	no.imputation	THL	57.5	6.5	51	64	57.5	54.25	60.75	51	64
20	OVERALL	7000	no.imputation	THL	56.5	5.5	51	62	56.5	53.75	59.25	51	62
20	OVERALL	8000	no.imputation	THL	56	6	50	62	56	53	59	50	62
20	OVERALL	9000	no.imputation	THL	55	6	49	61	55	52	58	49	61
20	OVERALL	10156	no.imputation	THL	55	1	54	56	55	54.5	55.5	54	56
20	NOR	100	no.imputation	THL	58	3.59	40	80	60	50	60	54.41	61.59
20	NOR	200	no.imputation	THL	63	3.67	50	80	60	52.5	70	59.33	66.67
20	NOR	500	no.imputation	THL	59	4.07	40	80	60	52.5	67.5	54.93	63.07
20	NOR	1000	no.imputation	THL	62	4.42	40	80	60	52.5	75	57.58	66.42
20	NOR	2000	no.imputation	THL	56	4	30	70	55	50	67.5	52	60
20	NOR	3000	no.imputation	THL	57	3.35	40	70	55	50	67.5	53.65	60.35
20	NOR	4000	no.imputation	THL	55	4.53	30	80	55	50	60	50.47	59.53
20	NOR	5000	no.imputation	THL	62	5.33	40	90	65	50	70	56.67	67.33
20	NOR	6000	no.imputation	THL	63	5.17	40	90	65	52.5	70	57.83	68.17
20	NOR	7000	no.imputation	THL	59	5.26	30	80	60	50	70	53.74	64.26
20	NOR	8000	no.imputation	THL	65	4.53	40	80	70	52.5	77.5	60.47	69.53
20	NOR	9000	no.imputation	THL	61	4.58	30	80	65	52.5	70	56.42	65.58
20	NOR	10156	no.imputation	THL	55	4.01	30	70	60	50	60	50.99	59.01
20	SOU	100	no.imputation	THL	49	5.86	20	80	45	40	60	43.14	54.86
20	SOU	200	no.imputation	THL	55	6.37	30	80	55	40	75	48.63	61.37
20	SOU	500	no.imputation	THL	55	4.28	40	80	55	42.5	60	50.72	59.28
20	SOU	1000	no.imputation	THL	62	4.67	30	90	60	60	67.5	57.33	66.67
20	SOU	2000	no.imputation	THL	64	3.4	50	80	60	60	70	60.6	67.4
20	SOU	3000	no.imputation	THL	64	4	40	80	65	60	70	60	68
20	SOU	4000	no.imputation	THL	73	3.35	60	90	75	62.5	80	69.65	76.35
20	SOU	5000	no.imputation	THL	67	4.73	50	90	65	52.5	80	62.27	71.73
20	SOU	6000	no.imputation	THL	74	4.52	50	90	75	62.5	87.5	69.48	78.52
20	SOU	7000	no.imputation	THL	78	4.16	60	100	80	70	87.5	73.84	82.16
20	SOU	8000	no.imputation	THL	81	3.14	70	100	80	72.5	87.5	77.86	84.14
20	SOU	9000	no.imputation	THL	80	3.65	60	100	80	72.5	87.5	76.35	83.65
20	SOU	10156	no.imputation	THL	76	3.4	60	100	75	70	80	72.6	79.4
20	OVERALL	100	no.imputation	THL	53.5	4.5	49	58	53.5	51.25	55.75	49	58
20	OVERALL	200	no.imputation	THL	59	4	55	63	59	57	61	55	63
20	OVERALL	500	no.imputation	THL	57	2	55	59	57	56	58	55	59
20	OVERALL	1000	no.imputation	THL	62	0	62	62	62	62	62	62	62
20	OVERALL	2000	no.imputation	THL	60	4	56	64	60	58	62	56	64
20	OVERALL	3000	no.imputation	THL	60.5	3.5	57	64	60.5	58.75	62.25	57	64
20	OVERALL	4000	no.imputation	THL	64	9	55	73	64	59.5	68.5	55	73
20	OVERALL	5000	no.imputation	THL	64.5	2.5	62	67	64.5	63.25	65.75	62	67
20	OVERALL	6000	no.imputation	THL	68.5	5.5	63	74	68.5	65.75	71.25	63	74
20	OVERALL	7000	no.imputation	THL	68.5	9.5	59	78	68.5	63.75	73.25	59	78
20	OVERALL	8000	no.imputation	THL	73	8	65	81	73	69	77	65	81
20	OVERALL	9000	no.imputation	THL	70.5	9.5	61	80	70.5	65.75	75.25	61	80
20	OVERALL	10156	no.imputation	THL	65.5	10.5	55	76	65.5	60.25	70.75	55	76
20	NOR	100	no.imputation	THL	43	4.48	30	70	40	30	50	38.52	47.48
20	NOR	200	no.imputation	THL	50	4.22	40	80	45	40	57.5	45.78	54.22
20	NOR	500	no.imputation	THL	53	6.84	20	90	55	35	67.5	46.16	59.84
20	NOR	1000	no.imputation	THL	46	4.27	20	70	45	40	50	41.73	50.27
20	NOR	2000	no.imputation	THL	55	5.63	30	80	55	42.5	70	49.37	60.63
20	NOR	3000	no.imputation	THL	54.44	6.89	20	80	60	40	70	47.55	61.33
20	NOR	4000	no.imputation	THL	50	6.15	20	80	55	32.5	60	43.85	56.15
20	NOR	5000	no.imputation	THL	47	5.39	30	70	40	32.5	65	41.61	52.39
20	NOR	6000	no.imputation	THL	48	5.33	20	70	45	40	60	42.67	53.33
20	NOR	7000	no.imputation	THL	44	5.21	20	70	40	32.5	50	38.79	49.21
20	NOR	8000	no.imputation	THL	47	5.17	20	70	50	32.5	60	41.83	52.17
20	NOR	9000	no.imputation	THL	42	3.89	20	60	45	32.5	50	38.11	45.89
20	NOR	10156	no.imputation	THL	44	4	20	60	45	40	50	40	48
20	SOU	100	no.imputation	THL	51	3.48	30	60	55	42.5	60	47.52	54.48
20	SOU	200	no.imputation	THL	54	4.99	30	70	50	50	70	49.01	58.99
20	SOU	500	no.imputation	THL	65	5.82	40	90	65	52.5	77.5	59.18	70.82
20	SOU	1000	no.imputation	THL	71	3.48	50	90	70	70	77.5	67.52	74.48
20	SOU	2000	no.imputation	THL	75	5	50	90	80	65	87.5	70	80
20	SOU	3000	no.imputation	THL	72.22	4.34	60	90	70	60	80	67.88	76.56
20	SOU	4000	no.imputation	THL	76	3.4	60	90	70	70	87.5	72.6	79.4
20	SOU	5000	no.imputation	THL	81	3.14	60	90	80	80	90	77.86	84.14
20	SOU	6000	no.imputation	THL	81	3.79	60	100	80	72.5	90	77.21	84.79
20	SOU	7000	no.imputation	THL	82	3.59	60	100	80	80	90	78.41	85.59
20	SOU	8000	no.imputation	THL	80	3.94	60	100	80	70	90	76.06	83.94
20	SOU	9000	no.imputation	THL	77	3	60	90	80	70	80	74	80
20	SOU	10156	no.imputation	THL	72	2.49	60	80	70	70	80	69.51	74.49
20	OVERALL	100	no.imputation	THL	47	4	43	51	47	45	49	43	51
20	OVERALL	200	no.imputation	THL	52	2	50	54	52	51	53	50	54
20	OVERALL	500	no.imputation	THL	59	6	53	65	59	56	62	53	65
20	OVERALL	1000	no.imputation	THL	58.5	12.5	46	71	58.5	52.25	64.75	46	71
20	OVERALL	2000	no.imputation	THL	65	10	55	75	65	60	70	55	75
20	OVERALL	3000	no.imputation	THL	63.33	8.89	54.44	72.22	63.33	58.88	67.78	54.44	72.22
20	OVERALL	4000	no.imputation	THL	63	13	50	76	63	56.5	69.5	50	76
20	OVERALL	5000	no.imputation	THL	64	17	47	81	64	55.5	72.5	47	81
20	OVERALL	6000	no.imputation	THL	64.5	16.5	48	81	64.5	56.25	72.75	48	81
20	OVERALL	7000	no.imputation	THL	63	19	44	82	63	53.5	72.5	44	82
20	OVERALL	8000	no.imputation	THL	63.5	16.5	47	80	63.5	55.25	71.75	47	80
20	OVERALL	9000	no.imputation	THL	59.5	17.5	42	77	59.5	50.75	68.25	42	77
20	OVERALL	10156	no.imputation	THL	58	14	44	72	58	51	65	44	72
20	NOR	100	no.imputation	THL	47	4.73	20	70	50	40	57.5	42.27	51.73
20	NOR	200	no.imputation	THL	54	4	40	70	50	42.5	67.5	50	58
20	NOR	500	no.imputation	THL	52	4.16	40	80	50	40	60	47.84	56.16
20	NOR	1000	no.imputation	THL	52	3.89	30	70	55	42.5	60	48.11	55.89
20	NOR	2000	no.imputation	THL	49	4.58	30	70	50	40	57.5	44.42	53.58
20	NOR	3000	no.imputation	THL	46	2.67	30	60	50	40	50	43.33	48.67
20	NOR	4000	no.imputation	THL	50	2.98	40	60	50	40	60	47.02	52.98
20	NOR	5000	no.imputation	THL	41	3.79	20	60	40	32.5	50	37.21	44.79
20	NOR	6000	no.imputation	THL	44	4.27	20	70	45	40	50	39.73	48.27
20	NOR	7000	no.imputation	THL	47	4.73	20	70	50	40	57.5	42.27	51.73
20	NOR	8000	no.imputation	THL	41	4.58	20	60	40	32.5	50	36.42	45.58
20	NOR	9000	no.imputation	THL	48	3.89	20	60	50	42.5	57.5	44.11	51.89
20	NOR	10156	no.imputation	THL	35	2.24	20	40	40	30	40	32.76	37.24
20	SOU	100	no.imputation	THL	53	5.78	30	80	55	35	67.5	47.22	58.78
20	SOU	200	no.imputation	THL	61	4.33	40	80	65	52.5	70	56.67	65.33
20	SOU	500	no.imputation	THL	64	3.06	50	80	65	60	70	60.94	67.06
20	SOU	1000	no.imputation	THL	60	3.94	40	80	60	50	70	56.06	63.94
20	SOU	2000	no.imputation	THL	68	4.16	50	90	70	60	77.5	63.84	72.16
20	SOU	3000	no.imputation	THL	66	4.27	50	80	65	52.5	80	61.73	70.27
20	SOU	4000	no.imputation	THL	66	4	50	90	65	60	70	62	70
20	SOU	5000	no.imputation	THL	70	2.58	60	80	70	62.5	77.5	67.42	72.58
20	SOU	6000	no.imputation	THL	71	2.77	60	80	70	62.5	80	68.23	73.77
20	SOU	7000	no.imputation	THL	71	3.14	50	80	70	70	80	67.86	74.14
20	SOU	8000	no.imputation	THL	65	3.42	50	80	65	60	70	61.58	68.42
20	SOU	9000	no.imputation	THL	66	2.67	50	80	70	60	70	63.33	68.67
20	SOU	10156	no.imputation	THL	69	2.33	60	80	70	62.5	70	66.67	71.33
20	OVERALL	100	no.imputation	THL	50	3	47	53	50	48.5	51.5	47	53
20	OVERALL	200	no.imputation	THL	57.5	3.5	54	61	57.5	55.75	59.25	54	61
20	OVERALL	500	no.imputation	THL	58	6	52	64	58	55	61	52	64
20	OVERALL	1000	no.imputation	THL	56	4	52	60	56	54	58	52	60
20	OVERALL	2000	no.imputation	THL	58.5	9.5	49	68	58.5	53.75	63.25	49	68
20	OVERALL	3000	no.imputation	THL	56	10	46	66	56	51	61	46	66
20	OVERALL	4000	no.imputation	THL	58	8	50	66	58	54	62	50	66
20	OVERALL	5000	no.imputation	THL	55.5	14.5	41	70	55.5	48.25	62.75	41	70
20	OVERALL	6000	no.imputation	THL	57.5	13.5	44	71	57.5	50.75	64.25	44	71
20	OVERALL	7000	no.imputation	THL	59	12	47	71	59	53	65	47	71
20	OVERALL	8000	no.imputation	THL	53	12	41	65	53	47	59	41	65
20	OVERALL	9000	no.imputation	THL	57	9	48	66	57	52.5	61.5	48	66
20	OVERALL	10156	no.imputation	THL	52	17	35	69	52	43.5	60.5	35	69
20	NOR	100	no.imputation	THL	41	5.04	10	60	45	30	50	35.96	46.04
20	NOR	200	no.imputation	THL	48	3.89	20	60	50	42.5	57.5	44.11	51.89
20	NOR	500	no.imputation	THL	48	6.63	0	70	50	42.5	60	41.37	54.63
20	NOR	1000	no.imputation	THL	56	3.4	40	70	50	50	67.5	52.6	59.4
20	NOR	2000	no.imputation	THL	55	3.42	40	70	55	50	60	51.58	58.42
20	NOR	3000	no.imputation	THL	56	4.52	40	80	55	42.5	67.5	51.48	60.52
20	NOR	4000	no.imputation	THL	57	5.78	30	90	60	42.5	60	51.22	62.78
20	NOR	5000	no.imputation	THL	53	4.73	30	80	50	42.5	60	48.27	57.73
20	NOR	6000	no.imputation	THL	57	4.73	40	80	60	42.5	60	52.27	61.73
20	NOR	7000	no.imputation	THL	50	4.08	40	60	50	47.5	52.5	45.92	54.08
20	NOR	8000	no.imputation	THL	59	4.58	40	80	60	50	70	54.42	63.58
20	NOR	9000	no.imputation	THL	58	3.89	40	80	55	50	67.5	54.11	61.89
20	NOR	10156	no.imputation	THL	59	2.33	50	70	60	52.5	60	56.67	61.33
20	SOU	100	no.imputation	THL	47	4.23	30	70	45	40	57.5	42.77	51.23
20	SOU	200	no.imputation	THL	47	3.96	30	70	50	40	50	43.04	50.96
20	SOU	500	no.imputation	THL	45	4.53	20	60	50	32.5	57.5	40.47	49.53
20	SOU	1000	no.imputation	THL	48	3.89	30	70	45	40	57.5	44.11	51.89
20	SOU	2000	no.imputation	THL	65	4.28	50	90	65	52.5	70	60.72	69.28
20	SOU	3000	no.imputation	THL	68	3.59	50	80	65	60	80	64.41	71.59
20	SOU	4000	no.imputation	THL	72	2.91	60	80	75	62.5	80	69.09	74.91
20	SOU	5000	no.imputation	THL	78	2.91	70	90	75	70	87.5	75.09	80.91
20	SOU	6000	no.imputation	THL	78	3.27	60	90	80	70	87.5	74.73	81.27
20	SOU	7000	no.imputation	THL	82.5	4.79	70	90	85	77.5	90	77.71	87.29
20	SOU	8000	no.imputation	THL	75	4.01	60	90	75	62.5	87.5	70.99	79.01
20	SOU	9000	no.imputation	THL	75	4.28	60	90	70	62.5	90	70.72	79.28
20	SOU	10156	no.imputation	THL	79	2.77	70	90	80	70	87.5	76.23	81.77
20	OVERALL	100	no.imputation	THL	44	3	41	47	44	42.5	45.5	41	47
20	OVERALL	200	no.imputation	THL	47.5	0.5	47	48	47.5	47.25	47.75	47	48
20	OVERALL	500	no.imputation	THL	46.5	1.5	45	48	46.5	45.75	47.25	45	48
20	OVERALL	1000	no.imputation	THL	52	4	48	56	52	50	54	48	56
20	OVERALL	2000	no.imputation	THL	60	5	55	65	60	57.5	62.5	55	65
20	OVERALL	3000	no.imputation	THL	62	6	56	68	62	59	65	56	68
20	OVERALL	4000	no.imputation	THL	64.5	7.5	57	72	64.5	60.75	68.25	57	72
20	OVERALL	5000	no.imputation	THL	65.5	12.5	53	78	65.5	59.25	71.75	53	78
20	OVERALL	6000	no.imputation	THL	67.5	10.5	57	78	67.5	62.25	72.75	57	78
20	OVERALL	7000	no.imputation	THL	66.25	16.25	50	82.5	66.25	58.12	74.38	50	82.5
20	OVERALL	8000	no.imputation	THL	67	8	59	75	67	63	71	59	75
20	OVERALL	9000	no.imputation	THL	66.5	8.5	58	75	66.5	62.25	70.75	58	75
20	OVERALL	10156	no.imputation	THL	69	10	59	79	69	64	74	59	79
20	NOR	100	no.imputation	THL	47	4.48	20	70	50	42.5	50	42.52	51.48
20	NOR	200	no.imputation	THL	39	5.67	10	70	40	30	47.5	33.33	44.67
20	NOR	500	no.imputation	THL	41	4.82	20	70	40	40	40	36.18	45.82
20	NOR	1000	no.imputation	THL	44	4.76	30	70	40	30	57.5	39.24	48.76
20	NOR	2000	no.imputation	THL	38	3.59	30	60	30	30	47.5	34.41	41.59
20	NOR	3000	no.imputation	THL	40	3.65	20	60	40	32.5	47.5	36.35	43.65
20	NOR	4000	no.imputation	THL	46	4.27	20	60	50	40	57.5	41.73	50.27
20	NOR	5000	no.imputation	THL	44	5.21	20	70	45	30	57.5	38.79	49.21
20	NOR	6000	no.imputation	THL	45	4.77	20	70	40	40	57.5	40.23	49.77
20	NOR	7000	no.imputation	THL	38	4.42	20	60	40	30	40	33.58	42.42
20	NOR	8000	no.imputation	THL	40	2.98	20	60	40	40	40	37.02	42.98
20	NOR	9000	no.imputation	THL	42	4.42	10	60	40	40	47.5	37.58	46.42
20	NOR	10156	no.imputation	THL	44	4	20	70	40	40	50	40	48
20	SOU	100	no.imputation	THL	66	4.99	30	80	70	62.5	77.5	61.01	70.99
20	SOU	200	no.imputation	THL	68	5.33	40	90	70	62.5	80	62.67	73.33
20	SOU	500	no.imputation	THL	70	6.32	30	100	70	62.5	80	63.68	76.32
20	SOU	1000	no.imputation	THL	83	3.35	70	100	85	72.5	90	79.65	86.35
20	SOU	2000	no.imputation	THL	83	2.13	70	90	80	80	90	80.87	85.13
20	SOU	3000	no.imputation	THL	83	3.96	70	100	80	72.5	95	79.04	86.96
20	SOU	4000	no.imputation	THL	83	3.35	70	100	80	80	87.5	79.65	86.35
20	SOU	5000	no.imputation	THL	81	4.07	60	100	80	72.5	87.5	76.93	85.07
20	SOU	6000	no.imputation	THL	83	4.48	60	100	80	72.5	97.5	78.52	87.48
20	SOU	7000	no.imputation	THL	81	4.07	60	100	80	72.5	87.5	76.93	85.07
20	SOU	8000	no.imputation	THL	80	3.94	60	100	80	72.5	80	76.06	83.94
20	SOU	9000	no.imputation	THL	84	3.06	70	100	80	80	87.5	80.94	87.06
20	SOU	10156	no.imputation	THL	80	3.65	70	100	80	70	80	76.35	83.65
20	OVERALL	100	no.imputation	THL	56.5	9.5	47	66	56.5	51.75	61.25	47	66
20	OVERALL	200	no.imputation	THL	53.5	14.5	39	68	53.5	46.25	60.75	39	68
20	OVERALL	500	no.imputation	THL	55.5	14.5	41	70	55.5	48.25	62.75	41	70
20	OVERALL	1000	no.imputation	THL	63.5	19.5	44	83	63.5	53.75	73.25	44	83
20	OVERALL	2000	no.imputation	THL	60.5	22.5	38	83	60.5	49.25	71.75	38	83
20	OVERALL	3000	no.imputation	THL	61.5	21.5	40	83	61.5	50.75	72.25	40	83
20	OVERALL	4000	no.imputation	THL	64.5	18.5	46	83	64.5	55.25	73.75	46	83
20	OVERALL	5000	no.imputation	THL	62.5	18.5	44	81	62.5	53.25	71.75	44	81
20	OVERALL	6000	no.imputation	THL	64	19	45	83	64	54.5	73.5	45	83
20	OVERALL	7000	no.imputation	THL	59.5	21.5	38	81	59.5	48.75	70.25	38	81
20	OVERALL	8000	no.imputation	THL	60	20	40	80	60	50	70	40	80
20	OVERALL	9000	no.imputation	THL	63	21	42	84	63	52.5	73.5	42	84
20	OVERALL	10156	no.imputation	THL	62	18	44	80	62	53	71	44	80
20	NOR	100	no.imputation	THL	43	4.23	20	70	40	40	50	38.77	47.23
20	NOR	200	no.imputation	THL	48	2.49	40	60	50	40	50	45.51	50.49
20	NOR	500	no.imputation	THL	49	4.07	30	70	50	42.5	57.5	44.93	53.07
20	NOR	1000	no.imputation	THL	43	3.67	30	60	40	32.5	50	39.33	46.67
20	NOR	2000	no.imputation	THL	53.33	3.73	30	70	50	50	60	49.6	57.06
20	NOR	3000	no.imputation	THL	46	3.71	30	60	45	40	57.5	42.29	49.71
