CURRENT	MARKER_NUMBER	MISSING_DATA	METHOD	MEAN	SE	MIN	MAX	MEDIAN	QUANTILE25	QUANTILE75	SE_MIN	SE_MAX	SUBSAMPLE
BON	9000	no.imputation	THL	16.6	1.82	7	27	16.5	13	20	14.78	18.42	1
BON	10156	no.imputation	THL	18	2.61	7	33	20	13	20	15.39	20.61	1
GSL	100	no.imputation	THL	16.7	3.16	7	40	16.5	8.5	20	13.54	19.86	1
GSL	200	no.imputation	THL	21.4	2.39	7	33	20	20	27	19.01	23.79	1
GSL	500	no.imputation	THL	23.4	4.98	7	53	20	13	27	18.42	28.38	1
GSL	1000	no.imputation	THL	26.1	3.45	7	40	27	27	33	22.65	29.55	1
GSL	2000	no.imputation	THL	28.8	3.43	13	53	27	27	27	25.37	32.23	1
GSL	3000	no.imputation	THL	34	4.59	7	60	33	28.5	40	29.41	38.59	1
GSL	4000	no.imputation	THL	37.4	4.22	20	60	33	27	47	33.18	41.62	1
GSL	5000	no.imputation	THL	40.7	3.91	27	67	40	33	45.25	36.79	44.61	1
GSL	6000	no.imputation	THL	40.7	3.77	27	60	40	33	45.25	36.93	44.47	1
GSL	7000	no.imputation	THL	40.86	4.8	33	67	33	33	43.5	36.06	45.66	1
GSL	8000	no.imputation	THL	40.7	3.49	27	60	40	33	47	37.21	44.19	1
GSL	9000	no.imputation	THL	45.4	4.69	20	67	47	34.75	51.5	40.71	50.09	1
GSL	10156	no.imputation	THL	46	3.91	27	67	43.5	40	53	42.09	49.91	1
CAR	100	no.imputation	THL	23.4	2.66	7	33	27	20	27	20.74	26.06	1
CAR	200	no.imputation	THL	20.7	3.77	0	33	23.5	20	27	16.93	24.47	1
CAR	500	no.imputation	THL	28.7	3.34	13	47	27	27	33	25.36	32.04	1
CAR	1000	no.imputation	THL	27.9	4.08	7	47	33	16.5	33	23.82	31.98	1
CAR	2000	no.imputation	THL	35.3	2.46	20	47	36.5	33	40	32.84	37.76	1
CAR	3000	no.imputation	THL	37.2	4.26	13	53	36.5	33	47	32.94	41.46	1
CAR	4000	no.imputation	THL	44	2.04	33	53	43.5	40	47	41.96	46.04	1
CAR	5000	no.imputation	THL	50	1.74	40	60	50	47	53	48.26	51.74	1
CAR	6000	no.imputation	THL	51.3	2.42	40	60	53	47	58.25	48.88	53.72	1
CAR	7000	no.imputation	THL	56.14	1.97	47	60	60	53	60	54.17	58.11	1
CAR	8000	no.imputation	THL	60	2.44	47	73	60	54.75	65.25	57.56	62.44	1
CAR	9000	no.imputation	THL	63.3	3.96	53	87	60	53	67	59.34	67.26	1
CAR	10156	no.imputation	THL	72.7	1.8	67	80	73	67	78.25	70.9	74.5	1
BRA	100	no.imputation	THL	13.3	3.79	0	33	10	7	18.25	9.51	17.09	1
BRA	200	no.imputation	THL	15.4	3.02	0	27	13	8.5	25.25	12.38	18.42	1
BRA	500	no.imputation	THL	13.4	3.71	0	33	10	7	23.5	9.69	17.11	1
BRA	1000	no.imputation	THL	15.3	3.3	0	33	13	8.5	23.5	12	18.6	1
BRA	2000	no.imputation	THL	14.8	4.19	0	40	10	7	25.25	10.61	18.99	1
BRA	3000	no.imputation	THL	20	2.82	7	40	20	14.75	20	17.18	22.82	1
BRA	4000	no.imputation	THL	18.7	3.57	0	40	20	13	25.25	15.13	22.27	1
BRA	5000	no.imputation	THL	18.1	4.2	0	40	16.5	7	27	13.9	22.3	1
BRA	6000	no.imputation	THL	22	3.96	7	40	20	13	31.5	18.04	25.96	1
BRA	7000	no.imputation	THL	23.86	3.25	13	40	20	20	27	20.61	27.11	1
BRA	8000	no.imputation	THL	21.5	2.21	7	27	23.5	20	27	19.29	23.71	1
BRA	9000	no.imputation	THL	20	1.94	7	33	20	20	20	18.06	21.94	1
BRA	10156	no.imputation	THL	19.3	1.26	13	27	20	20	20	18.04	20.56	1
CAN	100	no.imputation	THL	7.9	2.75	0	20	6.5	0	13	5.15	10.65	1
CAN	200	no.imputation	THL	9.9	2.46	0	20	13	1.75	13	7.44	12.36	1
CAN	500	no.imputation	THL	9.3	1.4	0	13	10	7	13	7.9	10.7	1
CAN	1000	no.imputation	THL	8.7	2.42	0	20	7	1.75	13	6.28	11.12	1
CAN	2000	no.imputation	THL	6.1	1.53	0	13	7	1.75	7	4.57	7.63	1
CAN	3000	no.imputation	THL	8.7	1.96	0	20	7	7	13	6.74	10.66	1
CAN	4000	no.imputation	THL	6.7	1.68	0	13	7	1.75	11.5	5.02	8.38	1
CAN	5000	no.imputation	THL	9.4	1.73	0	20	7	7	13	7.67	11.13	1
CAN	6000	no.imputation	THL	8.2	0.8	7	13	7	7	7	7.4	9	1
CAN	7000	no.imputation	THL	5.86	1.72	0	13	7	3.5	7	4.14	7.58	1
CAN	8000	no.imputation	THL	5.5	1.34	0	13	7	1.75	7	4.16	6.84	1
CAN	9000	no.imputation	THL	4.1	1.48	0	13	3.5	0	7	2.62	5.58	1
CAN	10156	no.imputation	THL	5.5	1.34	0	13	7	1.75	7	4.16	6.84	1
SNS	100	no.imputation	THL	9.9	2.01	0	20	13	7	13	7.89	11.91	1
SNS	200	no.imputation	THL	14.1	2.52	7	27	13	7	18.25	11.58	16.62	1
SNS	500	no.imputation	THL	14	2.53	0	27	13	8.5	20	11.47	16.53	1
SNS	1000	no.imputation	THL	16.7	3.48	0	33	13	8.5	27	13.22	20.18	1
SNS	2000	no.imputation	THL	14	3.49	0	40	13	7	18.25	10.51	17.49	1
SNS	3000	no.imputation	THL	20.7	3.01	7	33	20	14.75	27	17.69	23.71	1
SNS	4000	no.imputation	THL	25.9	3.23	13	40	23.5	20	33	22.67	29.13	1
SNS	5000	no.imputation	THL	26.7	3.93	7	53	27	21.75	31.5	22.77	30.63	1
SNS	6000	no.imputation	THL	27.3	3.54	13	47	27	20	33	23.76	30.84	1
SNS	7000	no.imputation	THL	29.57	5.4	20	53	20	20	37	24.17	34.97	1
SNS	8000	no.imputation	THL	26.6	3.77	13	47	27	14.75	33	22.83	30.37	1
SNS	9000	no.imputation	THL	25.3	3.6	13	40	23.5	14.75	36.75	21.7	28.9	1
SNS	10156	no.imputation	THL	20.2	2.43	7	27	20	20	27	17.77	22.63	1
SEA	100	no.imputation	THL	20.7	1.94	13	27	20	14.75	27	18.76	22.64	1
SEA	200	no.imputation	THL	24.6	2.45	13	33	27	20	31.5	22.15	27.05	1
SEA	500	no.imputation	THL	22.6	2.28	13	33	20	20	27	20.32	24.88	1
SEA	1000	no.imputation	THL	30.6	2.85	20	47	33	21.75	33	27.75	33.45	1
SEA	2000	no.imputation	THL	36.8	3.45	20	53	40	27	45.25	33.35	40.25	1
SEA	3000	no.imputation	THL	38	4.02	13	60	40	33	45.25	33.98	42.02	1
SEA	4000	no.imputation	THL	38.6	2.15	27	53	40	34.75	40	36.45	40.75	1
SEA	5000	no.imputation	THL	43.3	4.16	27	67	40	33	51.5	39.14	47.46	1
SEA	6000	no.imputation	THL	40.1	2.5	27	47	43.5	33	47	37.6	42.6	1
SEA	7000	no.imputation	THL	42.86	4.67	33	67	40	33	47	38.19	47.53	1
SEA	8000	no.imputation	THL	43.9	3.93	33	67	40	33	51.5	39.97	47.83	1
SEA	9000	no.imputation	THL	44.7	2.46	33	60	43.5	40	47	42.24	47.16	1
SEA	10156	no.imputation	THL	44.1	2.05	40	60	40	40	47	42.05	46.15	1
BOO	100	no.imputation	THL	15.9	3.01	0	33	13	13	20	12.89	18.91	1
BOO	200	no.imputation	THL	22.7	3.64	7	47	20	14.75	27	19.06	26.34	1
BOO	500	no.imputation	THL	22.1	2.66	7	33	27	14.75	27	19.44	24.76	1
BOO	1000	no.imputation	THL	24	4.34	0	40	27	14.75	33	19.66	28.34	1
BOO	2000	no.imputation	THL	29.3	3.74	13	53	27	27	33	25.56	33.04	1
BOO	3000	no.imputation	THL	32	2.39	20	47	33	27	33	29.61	34.39	1
BOO	4000	no.imputation	THL	30.5	3.13	20	53	33	21.75	33	27.37	33.63	1
BOO	5000	no.imputation	THL	32.2	3.44	20	47	27	27	43.5	28.76	35.64	1
BOO	6000	no.imputation	THL	34.7	3.13	20	47	36.5	28.5	40	31.57	37.83	1
BOO	7000	no.imputation	THL	37	4.59	20	60	33	33	40	32.41	41.59	1
BOO	8000	no.imputation	THL	34.9	3.43	20	47	30	27	47	31.47	38.33	1
BOO	9000	no.imputation	THL	34	3.49	20	53	33	27	40	30.51	37.49	1
BOO	10156	no.imputation	THL	38	2.81	27	53	36.5	33	45.25	35.19	40.81	1
CCO	100	no.imputation	THL	18.8	3.83	0	40	20	8.5	27	14.97	22.63	1
CCO	200	no.imputation	THL	19.3	2.2	13	27	16.5	13	27	17.1	21.5	1
CCO	500	no.imputation	THL	25.3	3.3	13	47	23.5	20	31.5	22	28.6	1
CCO	1000	no.imputation	THL	30.7	2.25	20	47	30	27	33	28.45	32.95	1
CCO	2000	no.imputation	THL	34.2	2.7	27	47	30	27	40	31.5	36.9	1
CCO	3000	no.imputation	THL	35.9	3.01	20	53	33	33	40	32.89	38.91	1
CCO	4000	no.imputation	THL	35.3	2.23	20	40	40	33	40	33.07	37.53	1
CCO	5000	no.imputation	THL	36.6	2.1	27	47	33	33	40	34.5	38.7	1
CCO	6000	no.imputation	THL	36.5	2.26	27	53	33	33	40	34.24	38.76	1
CCO	7000	no.imputation	THL	41.14	3.1	27	47	47	36.5	47	38.04	44.24	1
CCO	8000	no.imputation	THL	41.3	2.23	33	53	40	34.75	47	39.07	43.53	1
CCO	9000	no.imputation	THL	36.1	2.47	27	47	36.5	28.5	40	33.63	38.57	1
CCO	10156	no.imputation	THL	37.3	1.47	27	40	40	34.75	40	35.83	38.77	1
RHO	100	no.imputation	THL	16	2.81	7	33	13	8.5	20	13.19	18.81	1
RHO	200	no.imputation	THL	26.1	4.12	7	47	27	20	33	21.98	30.22	1
RHO	500	no.imputation	THL	27.4	3.63	7	40	27	21.75	38.25	23.77	31.03	1
RHO	1000	no.imputation	THL	34.7	4.81	7	60	33	27	43.5	29.89	39.51	1
RHO	2000	no.imputation	THL	33.3	4.59	13	60	33	27	40	28.71	37.89	1
RHO	3000	no.imputation	THL	38.8	4.85	20	60	47	21.75	47	33.95	43.65	1
RHO	4000	no.imputation	THL	38.7	3.93	20	53	40	30.25	47	34.77	42.63	1
RHO	5000	no.imputation	THL	40.6	3.22	20	53	40	34.75	47	37.38	43.82	1
RHO	6000	no.imputation	THL	39.9	2.79	27	53	40	33	45.25	37.11	42.69	1
RHO	7000	no.imputation	THL	43.86	2.49	33	53	47	40	47	41.37	46.35	1
RHO	8000	no.imputation	THL	44.7	3.23	27	53	47	41.75	53	41.47	47.93	1
RHO	9000	no.imputation	THL	44.6	2.94	27	53	47	40	53	41.66	47.54	1
RHO	10156	no.imputation	THL	42.6	2.88	33	60	40	34.75	47	39.72	45.48	1
OVERALL	100	no.imputation	THL	14.86	1.49	7.9	23.4	15.9	10.45	17.75	13.37	16.35	1
OVERALL	200	no.imputation	THL	17.95	1.71	9.9	26.1	19.3	13.35	22.05	16.24	19.66	1
OVERALL	500	no.imputation	THL	19.23	2.13	9.3	28.7	22.1	13.7	24.35	17.1	21.36	1
OVERALL	1000	no.imputation	THL	21.84	2.68	8.7	34.7	24	14.05	29.25	19.16	24.52	1
OVERALL	2000	no.imputation	THL	24.24	3.25	6.1	36.8	28.8	14.4	33.75	20.99	27.49	1
OVERALL	3000	no.imputation	THL	27.22	3.22	8.7	38.8	32	19.35	36.55	24	30.44	1
OVERALL	4000	no.imputation	THL	28.47	3.53	6.7	44	30.5	20.35	38	24.94	32	1
OVERALL	5000	no.imputation	THL	30.7	3.93	9.4	50	32.2	22.15	40.65	26.77	34.63	1
OVERALL	6000	no.imputation	THL	31.15	3.81	8.2	51.3	34.7	24.45	40	27.34	34.96	1
OVERALL	7000	no.imputation	THL	32.91	4.33	5.86	56.14	37	23.86	42	28.58	37.24	1
OVERALL	8000	no.imputation	THL	32.77	4.64	5.5	60	34.9	22.85	42.6	28.13	37.41	1
OVERALL	9000	no.imputation	THL	32.14	5.1	4.1	63.3	34	19.7	44.65	27.04	37.24	1
OVERALL	10156	no.imputation	THL	33	5.66	5.5	72.7	37.3	19.3	43.35	27.34	38.66	1
TRI	100	no.imputation	THL	14.7	2.79	0	27	13	8.5	20	11.91	17.49	2
TRI	200	no.imputation	THL	17.3	3.18	0	33	16.5	13	25.25	14.12	20.48	2
TRI	500	no.imputation	THL	16.6	2.66	7	33	13	13	20	13.94	19.26	2
TRI	1000	no.imputation	THL	16.6	3.86	0	40	13	8.5	20	12.74	20.46	2
TRI	2000	no.imputation	THL	18.5	2.21	13	33	16.5	13	20	16.29	20.71	2
TRI	3000	no.imputation	THL	20.6	3.31	7	33	20	13	31.5	17.29	23.91	2
TRI	4000	no.imputation	THL	22.6	3.31	7	40	20	14.75	31.5	19.29	25.91	2
TRI	5000	no.imputation	THL	22	2.81	7	33	23.5	14.75	27	19.19	24.81	2
TRI	6000	no.imputation	THL	23.3	2.52	13	33	27	14.75	27	20.78	25.82	2
TRI	7000	no.imputation	THL	23.67	2.99	13	40	20	20	27	20.68	26.66	2
TRI	8000	no.imputation	THL	23.9	3.04	13	40	23.5	14.75	31.5	20.86	26.94	2
TRI	9000	no.imputation	THL	24.6	2.63	13	40	20	20	31.5	21.97	27.23	2
TRI	10156	no.imputation	THL	29.43	3.21	13	40	33	27	33	26.22	32.64	2
BON	100	no.imputation	THL	10.9	2.66	0	27	7	7	16.75	8.24	13.56	2
BON	200	no.imputation	THL	10.2	2.48	0	27	7	7	11.5	7.72	12.68	2
BON	500	no.imputation	THL	11.4	2.43	0	27	10	7	13	8.97	13.83	2
BON	1000	no.imputation	THL	10.7	1.99	0	20	10	7	13	8.71	12.69	2
BON	2000	no.imputation	THL	10.7	2.66	0	27	10	7	13	8.04	13.36	2
BON	3000	no.imputation	THL	11.4	2.62	0	20	10	7	20	8.78	14.02	2
BON	4000	no.imputation	THL	14.1	3.76	0	33	10	7	25.25	10.34	17.86	2
BON	5000	no.imputation	THL	12.7	2.52	0	27	13	7	18.25	10.18	15.22	2
BON	6000	no.imputation	THL	15.9	3.01	0	33	13	13	20	12.89	18.91	2
BON	7000	no.imputation	THL	14	3.18	0	33	13	7	20	10.82	17.18	2
BON	8000	no.imputation	THL	14.5	3.27	0	33	13	13	18.25	11.23	17.77	2
BON	9000	no.imputation	THL	15.2	3.75	0	40	13	13	18.25	11.45	18.95	2
BON	10156	no.imputation	THL	22	3.47	7	33	27	16.5	27	18.53	25.47	2
GSL	100	no.imputation	THL	22.8	3.79	0	47	23.5	20	27	19.01	26.59	2
GSL	200	no.imputation	THL	22	3.76	7	47	20	13	27	18.24	25.76	2
GSL	500	no.imputation	THL	20.1	2.79	7	33	20	14.75	27	17.31	22.89	2
GSL	1000	no.imputation	THL	17.8	2.5	13	33	13	13	23.5	15.3	20.3	2
GSL	2000	no.imputation	THL	21.3	2.23	13	33	20	14.75	27	19.07	23.53	2
GSL	3000	no.imputation	THL	24.6	3.43	7	40	27	14.75	33	21.17	28.03	2
GSL	4000	no.imputation	THL	25.3	2.79	13	40	27	20	31.5	22.51	28.09	2
GSL	5000	no.imputation	THL	21.4	2.39	7	33	20	20	27	19.01	23.79	2
GSL	6000	no.imputation	THL	22	1.75	13	33	20	20	25.25	20.25	23.75	2
GSL	7000	no.imputation	THL	27.44	3.63	13	40	27	20	40	23.81	31.07	2
GSL	8000	no.imputation	THL	25.9	3.23	13	40	23.5	20	33	22.67	29.13	2
GSL	9000	no.imputation	THL	29.4	3.03	13	47	27	27	33	26.37	32.43	2
GSL	10156	no.imputation	THL	33.29	4.17	13	47	33	30	40	29.12	37.46	2
CAR	100	no.imputation	THL	17.2	3.52	0	40	13	13	23.5	13.68	20.72	2
CAR	200	no.imputation	THL	18	2.81	7	33	16.5	13	25.25	15.19	20.81	2
CAR	500	no.imputation	THL	23.4	2.66	7	33	27	20	27	20.74	26.06	2
CAR	1000	no.imputation	THL	25.3	5.25	0	47	26.5	13	40	20.05	30.55	2
CAR	2000	no.imputation	THL	31.5	3.89	20	47	27	20	45.25	27.61	35.39	2
CAR	3000	no.imputation	THL	42.6	4.09	27	60	40	33	53	38.51	46.69	2
CAR	4000	no.imputation	THL	42.8	4.61	27	67	40	33	47	38.19	47.41	2
CAR	5000	no.imputation	THL	44.7	4	27	67	43.5	34.75	51.5	40.7	48.7	2
CAR	6000	no.imputation	THL	47.9	2.58	33	60	50	41.75	53	45.32	50.48	2
CAR	7000	no.imputation	THL	55.44	1.57	47	60	53	53	60	53.87	57.01	2
CAR	8000	no.imputation	THL	61.9	2.85	53	80	60	54.75	65.25	59.05	64.75	2
CAR	9000	no.imputation	THL	58	2.29	47	67	56.5	53	65.25	55.71	60.29	2
CAR	10156	no.imputation	THL	62.86	2.91	53	73	67	56.5	67	59.95	65.77	2
BRA	100	no.imputation	THL	14.5	3.27	0	40	13	13	13	11.23	17.77	2
BRA	200	no.imputation	THL	12.7	2.29	0	20	13	7	20	10.41	14.99	2
BRA	500	no.imputation	THL	11.3	2.22	0	27	13	7	13	9.08	13.52	2
BRA	1000	no.imputation	THL	11.5	2.21	7	27	7	7	13	9.29	13.71	2
BRA	2000	no.imputation	THL	14.1	2.9	0	27	13	7	20	11.2	17	2
BRA	3000	no.imputation	THL	17.1	2.3	13	33	13	13	18.25	14.8	19.4	2
BRA	4000	no.imputation	THL	15.3	2.79	7	33	13	8.5	18.25	12.51	18.09	2
BRA	5000	no.imputation	THL	18.7	3.44	7	40	13	13	27	15.26	22.14	2
BRA	6000	no.imputation	THL	19.2	2.56	13	40	20	13	20	16.64	21.76	2
BRA	7000	no.imputation	THL	19.22	3.25	7	40	20	13	20	15.97	22.47	2
BRA	8000	no.imputation	THL	18.6	2.61	7	33	16.5	13	25.25	15.99	21.21	2
BRA	9000	no.imputation	THL	20.8	2.37	7	27	23.5	14.75	27	18.43	23.17	2
BRA	10156	no.imputation	THL	19.14	3.12	7	27	20	13	27	16.02	22.26	2
CAN	100	no.imputation	THL	12.6	2.51	0	20	13	8.5	20	10.09	15.11	2
CAN	200	no.imputation	THL	11.3	1.35	7	20	13	7	13	9.95	12.65	2
CAN	500	no.imputation	THL	9.3	1.99	0	20	10	7	13	7.31	11.29	2
CAN	1000	no.imputation	THL	15.3	2.01	7	27	13	13	20	13.29	17.31	2
CAN	2000	no.imputation	THL	8	2.14	0	20	7	1.75	13	5.86	10.14	2
CAN	3000	no.imputation	THL	7.5	2.32	0	20	7	1.75	7	5.18	9.82	2
CAN	4000	no.imputation	THL	6	1.81	0	13	7	0	11.5	4.19	7.81	2
CAN	5000	no.imputation	THL	6.9	0.97	0	13	7	7	7	5.93	7.87	2
CAN	6000	no.imputation	THL	6.1	1.53	0	13	7	1.75	7	4.57	7.63	2
CAN	7000	no.imputation	THL	7.44	1.68	0	13	7	7	13	5.76	9.12	2
CAN	8000	no.imputation	THL	4.7	1.71	0	13	3.5	0	7	2.99	6.41	2
CAN	9000	no.imputation	THL	4.7	1.71	0	13	3.5	0	7	2.99	6.41	2
CAN	10156	no.imputation	THL	3	1.41	0	7	0	0	7	1.59	4.41	2
SNS	100	no.imputation	THL	14.7	3.24	0	33	13	7	20	11.46	17.94	2
SNS	200	no.imputation	THL	18.6	2.39	7	33	20	13	20	16.21	20.99	2
SNS	500	no.imputation	THL	14.1	3.32	0	33	10	7	20	10.78	17.42	2
SNS	1000	no.imputation	THL	20.8	2.13	7	27	20	20	27	18.67	22.93	2
SNS	2000	no.imputation	THL	25.5	2.83	13	47	27	20	27	22.67	28.33	2
SNS	3000	no.imputation	THL	28	3.67	0	40	30	27	33	24.33	31.67	2
SNS	4000	no.imputation	THL	27.4	2.07	20	40	27	21.75	31.5	25.33	29.47	2
SNS	5000	no.imputation	THL	33.9	2.85	20	53	33	28.5	38.25	31.05	36.75	2
SNS	6000	no.imputation	THL	34	2.65	27	53	33	27	38.25	31.35	36.65	2
SNS	7000	no.imputation	THL	33.89	3	20	53	33	33	33	30.89	36.89	2
SNS	8000	no.imputation	THL	33.4	3.46	20	47	36.5	21.75	40	29.94	36.86	2
SNS	9000	no.imputation	THL	44.7	3.74	27	67	47	34.75	51.5	40.96	48.44	2
SNS	10156	no.imputation	THL	40.14	3.79	27	53	40	33.5	47	36.35	43.93	2
SEA	100	no.imputation	THL	31.3	3	13	40	33	27	40	28.3	34.3	2
SEA	200	no.imputation	THL	29.3	3.5	13	47	30	20	38.25	25.8	32.8	2
SEA	500	no.imputation	THL	31.4	3.18	13	47	30	27	33	28.22	34.58	2
SEA	1000	no.imputation	THL	35.9	3.01	27	60	33	33	38.25	32.89	38.91	2
SEA	2000	no.imputation	THL	35.2	2.05	27	47	33	33	33	33.15	37.25	2
SEA	3000	no.imputation	THL	43.4	3.49	27	60	43.5	34.75	47	39.91	46.89	2
SEA	4000	no.imputation	THL	35.3	2.59	27	53	33	28.5	40	32.71	37.89	2
SEA	5000	no.imputation	THL	40.2	2.65	27	47	43.5	34.75	47	37.55	42.85	2
SEA	6000	no.imputation	THL	49.1	3.73	33	73	53	41.75	53	45.37	52.83	2
SEA	7000	no.imputation	THL	46.67	4.24	27	60	53	40	53	42.43	50.91	2
SEA	8000	no.imputation	THL	53.8	3.6	40	73	53	48.5	53	50.2	57.4	2
SEA	9000	no.imputation	THL	54.5	2.21	40	67	53	53	58.25	52.29	56.71	2
SEA	10156	no.imputation	THL	55.14	2.43	47	67	53	53	56.5	52.71	57.57	2
BOO	100	no.imputation	THL	23.4	2.31	13	40	20	20	27	21.09	25.71	2
BOO	200	no.imputation	THL	26.7	2.93	7	40	27	21.75	33	23.77	29.63	2
BOO	500	no.imputation	THL	26.1	3.93	7	47	27	16.5	31.5	22.17	30.03	2
BOO	1000	no.imputation	THL	24	3.55	7	40	23.5	20	33	20.45	27.55	2
BOO	2000	no.imputation	THL	27.3	3.48	7	40	30	21.75	33	23.82	30.78	2
BOO	3000	no.imputation	THL	28.1	2.6	13	40	27	27	31.5	25.5	30.7	2
BOO	4000	no.imputation	THL	30.6	4.01	13	53	30	27	33	26.59	34.61	2
BOO	5000	no.imputation	THL	34.1	3.76	20	53	30	27	45.25	30.34	37.86	2
BOO	6000	no.imputation	THL	35.2	1.77	27	47	33	33	38.25	33.43	36.97	2
BOO	7000	no.imputation	THL	34.11	3.05	20	47	33	27	40	31.06	37.16	2
BOO	8000	no.imputation	THL	34.7	3.83	13	53	33	27	45.25	30.87	38.53	2
BOO	9000	no.imputation	THL	32.1	4.13	13	47	30	27	45.25	27.97	36.23	2
BOO	10156	no.imputation	THL	26.57	3.88	13	40	27	20	33	22.69	30.45	2
CCO	100	no.imputation	THL	20	3.93	7	40	16.5	8.5	31.5	16.07	23.93	2
CCO	200	no.imputation	THL	22.2	3.75	7	47	23.5	14.75	27	18.45	25.95	2
CCO	500	no.imputation	THL	22.6	3.38	13	47	20	14.75	25.25	19.22	25.98	2
CCO	1000	no.imputation	THL	28.8	4.05	7	53	27	21.75	36.75	24.75	32.85	2
CCO	2000	no.imputation	THL	33.3	3.79	20	53	30	27	38.25	29.51	37.09	2
CCO	3000	no.imputation	THL	37.9	2.45	27	53	36.5	33	40	35.45	40.35	2
CCO	4000	no.imputation	THL	43.3	2.82	27	53	43.5	40	51.5	40.48	46.12	2
CCO	5000	no.imputation	THL	44.6	2.94	27	53	47	40	53	41.66	47.54	2
CCO	6000	no.imputation	THL	44.7	4.55	20	60	47	34.75	58.25	40.15	49.25	2
CCO	7000	no.imputation	THL	48.11	3.96	27	67	53	47	53	44.15	52.07	2
CCO	8000	no.imputation	THL	49.3	4	20	67	53	47	53	45.3	53.3	2
CCO	9000	no.imputation	THL	52.7	2.52	40	67	53	47	58.25	50.18	55.22	2
CCO	10156	no.imputation	THL	51.43	4.08	33	67	53	47	56.5	47.35	55.51	2
RHO	100	no.imputation	THL	20.8	2.13	7	27	20	20	27	18.67	22.93	2
RHO	200	no.imputation	THL	17.5	2.67	7	27	20	8.5	25.25	14.83	20.17	2
RHO	500	no.imputation	THL	18.5	3.65	0	33	16.5	13	29.75	14.85	22.15	2
RHO	1000	no.imputation	THL	22.6	2.02	13	33	20	20	25.25	20.58	24.62	2
RHO	2000	no.imputation	THL	28	2.94	20	40	23.5	20	38.25	25.06	30.94	2
RHO	3000	no.imputation	THL	28.8	4.54	7	47	30	21.75	38.25	24.26	33.34	2
RHO	4000	no.imputation	THL	32	3.58	13	47	36.5	21.75	40	28.42	35.58	2
RHO	5000	no.imputation	THL	31.5	4.64	7	53	27	21.75	45.25	26.86	36.14	2
RHO	6000	no.imputation	THL	37.2	4.21	7	53	36.5	33	45.25	32.99	41.41	2
RHO	7000	no.imputation	THL	34.67	3.65	20	53	33	33	40	31.02	38.32	2
RHO	8000	no.imputation	THL	32.1	2.95	20	47	30	27	40	29.15	35.05	2
RHO	9000	no.imputation	THL	30	3.19	13	40	30	21.75	40	26.81	33.19	2
RHO	10156	no.imputation	THL	32.14	3.43	13	40	33	33	36.5	28.71	35.57	2
OVERALL	100	no.imputation	THL	18.45	1.79	10.9	31.3	17.2	14.6	21.8	16.66	20.24	2
OVERALL	200	no.imputation	THL	18.71	1.83	10.2	29.3	18	15	22.1	16.88	20.54	2
OVERALL	500	no.imputation	THL	18.62	2.08	9.3	31.4	18.5	12.75	23	16.54	20.7	2
OVERALL	1000	no.imputation	THL	20.85	2.28	10.7	35.9	20.8	15.95	24.65	18.57	23.13	2
